element_1,element_2,track_name,playlist_genre,playlist_subgenre,track_artist,track_popularity,selected_artist,point_size_selected_artist,track_name_selected_artist,genre_selected_artist
0.8494829684030675,9.606800753308836,Lovers + Strangers ,pop,dance pop,Starley,46,,0.7,NA,NA
1.4894654271258079,7.430091465397914,Promises (with Sam Smith) ,pop,dance pop,Calvin Harris,63,,0.7,NA,NA
1.2738102383867298,8.270531838531191,Flames (with ZAYN) ,pop,dance pop,R3HAB,55,,0.7,NA,NA
1.828498400232348,7.784818831833413,What Am I ,pop,dance pop,Why Don't We,52,,0.7,NA,NA
1.580411304762999,-3.071075810446696,Cool Kids,pop,dance pop,Olympis,67,,0.7,NA,NA
0.13151880545830774,9.296787396972404,Loco Contigo (with J. Balvin & Tyga) ,pop,dance pop,DJ Snake,63,,0.7,NA,NA
-0.3876452812618817,8.65776496130161,All Star ,pop,dance pop,Smash Mouth,60,,0.7,NA,NA
0.9239451758116032,9.238654947189499,Trampoline ,pop,dance pop,SHAED,45,,0.7,NA,NA
0.30873465734087074,10.045225120631631,Stay (Don't Go Away) [feat. Raye] ,pop,dance pop,David Guetta,58,,0.7,NA,NA
1.4890038007480302,7.619737707651218,With You ,pop,dance pop,Kaskade,51,,0.7,NA,NA
1.4043248974010694,8.13351180703749,Safety (feat. DJ Snake) ,pop,dance pop,GASHI,58,,0.7,NA,NA
0.4947770780078543,-5.563316420625105,Beautiful (feat. Camila Cabello) ,pop,dance pop,Bazzi vs.,56,,0.7,NA,NA
-2.1587653603575365,5.173708982545113,Talk ,pop,dance pop,Khalid,60,,0.7,NA,NA
-2.2123666982176067,-8.805384503043609,Spicy ,pop,dance pop,Herve Pagez,48,,0.7,NA,NA
-0.8322201251802235,-8.73822097038639,Don't Leave Me Lonely (feat. Yebba) ,pop,dance pop,Mark Ronson,56,,0.7,NA,NA
0.3890131381987668,-8.421668777264276,Treehouse ,pop,dance pop,James Arthur,56,,0.7,NA,NA
0.34669918507874165,9.53326585560552,Hearts Ain't Gonna Lie ,pop,dance pop,Arlissa,65,,0.7,NA,NA
-1.0605803187601717,-9.81924991202231,Call You Mine,pop,dance pop,The Chainsmokers,39,,0.7,NA,NA
-2.3359522510963373,-9.366167139964055,Post Malone (feat. RANI),pop,dance pop,Sam Feldt,83,,0.7,NA,NA
-0.017025935950471416,7.197738399594876,Here With Me,pop,dance pop,Marshmello,83,,0.7,NA,NA
-1.4133853042787263,-8.355411156879402,Easier ,pop,dance pop,5 Seconds of Summer,71,,0.7,NA,NA
-2.6878764461963938,-8.06525992680091,Sixteen,pop,dance pop,Ellie Goulding,81,,0.7,NA,NA
-1.6254446796611048,-7.76113387461611,Never Really Over,pop,dance pop,Katy Perry,85,,0.7,NA,NA
1.7171251585008087,-6.10139132950548,All You Need To Know (feat. Calle Lehmann),pop,dance pop,Gryffin,76,,0.7,NA,NA
-2.2760163240199924,-4.381896421586817,I Miss Myself (with HRVY),pop,dance pop,NOTD,71,,0.7,NA,NA
1.5308505583188359,-4.342213905879124,Takeaway (feat. Lennon Stella),pop,dance pop,The Chainsmokers,67,,0.7,NA,NA
-0.2306335030781207,9.096298021071426,All the Time,pop,dance pop,Zara Larsson,74,,0.7,NA,NA
0.5778578120204236,-5.66555804957127,What I Like About You (feat. Theresa Rex),pop,dance pop,Jonas Blue,81,,0.7,NA,NA
-3.157042440877251,4.78391826705027,With You,pop,dance pop,Kaskade,71,,0.7,NA,NA
-0.24671618144690954,-8.606165738753056,Body Back (feat. Maia Wright),pop,dance pop,Gryffin,75,,0.7,NA,NA
0.9474229291560844,8.78468876743092,Not Ok,pop,dance pop,Kygo,73,,0.7,NA,NA
-2.001500305924824,-7.436483895598926,Ruin My Life,pop,dance pop,Zara Larsson,79,,0.7,NA,NA
-1.1527902911435692,-8.721443159622769,I Wanna Know (feat. Bea Miller),pop,dance pop,NOTD,74,,0.7,NA,NA
0.8537393468010404,-5.51614223718016,Better With You,pop,dance pop,3LAU,63,,0.7,NA,NA
0.015363712508668359,6.059604841716549,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",pop,dance pop,Kygo,79,,0.7,NA,NA
0.2770597462313773,9.326569589522954,Polaroid,pop,dance pop,Jonas Blue,16,,0.7,NA,NA
-4.315548722965306,-6.140267833412488,Lost In Japan ,pop,dance pop,Shawn Mendes,75,,0.7,NA,NA
1.92091252287146,-6.49482448728091,In Your Arms (with X Ambassadors),pop,dance pop,ILLENIUM,75,,0.7,NA,NA
-1.8775601357972775,-7.695307891362366,I'm Not Alright,pop,dance pop,Loud Luxury,55,,0.7,NA,NA
-0.4307312653605806,6.912177719648022,SOS,pop,dance pop,Avicii,30,,0.7,NA,NA
-1.336648327104408,8.79016950528738,Harder,pop,dance pop,Jax Jones,62,,0.7,NA,NA
-0.4944193349111339,-9.482654454946454,The Middle,pop,dance pop,Zedd,84,,0.7,NA,NA
-0.31184270613327725,-6.918240179135565,Wanted,pop,dance pop,NOTD,70,,0.7,NA,NA
2.9380816636678864,7.0600238175663375,Crash Into Me,pop,dance pop,Steve Aoki,37,,0.7,NA,NA
-0.12441287144276658,-5.215664982804068,Need Your Love (with Noah Kahan),pop,dance pop,Gryffin,70,,0.7,NA,NA
-0.16504777849657115,-4.595242796475611,Good Things Fall Apart (with Jon Bellion),pop,dance pop,ILLENIUM,74,,0.7,NA,NA
0.17718313842859018,-9.1656642156459,Don't Call Me Up,pop,dance pop,Mabel,85,,0.7,NA,NA
-0.034353978463321444,-3.5309931639461185,Nostalgic,pop,dance pop,A R I Z O N A,36,,0.7,NA,NA
-0.3350316112163807,-8.551580764575874,Let It Be Me,pop,dance pop,Steve Aoki,52,,0.7,NA,NA
-0.8989023986253839,-4.675907050451499,Lovers + Strangers,pop,dance pop,Starley,58,,0.7,NA,NA
-0.01216727847610899,-5.192890753100345,Sad Song (feat. TINI),pop,dance pop,Alesso,72,,0.7,NA,NA
-0.09590315700754648,-8.055045292531101,Sleepless Nights,pop,dance pop,ayokay,64,,0.7,NA,NA
2.059280365011533,8.631831138471584,Save Me Tonight,pop,dance pop,ARTY,63,,0.7,NA,NA
-0.7572214318449089,9.535685373017024,Pretty Girl ,pop,dance pop,Maggie Lindemann,77,,0.7,NA,NA
1.3546284879747206,-7.323390081086503,No Sleep (feat. Bonn),pop,dance pop,Martin Garrix,76,,0.7,NA,NA
