element_1,element_2,track_name,playlist_genre,playlist_subgenre,track_artist,track_popularity,selected_artist,point_size_selected_artist,track_name_selected_artist,genre_selected_artist,popular_tracks_selected_artist
-3.465253586765766,-3.4590629088051146,bad guy (with Justin Bieber),pop,dance pop,Billie Eilish,83,,0.1,NA,NA,NA
1.5617343202601517,7.456621889186079,Freaking Me Out ,pop,dance pop,Ava Max,55,,0.1,NA,NA,NA
5.728411993066221,-3.136488578482447,Heaven Can Wait ,pop,dance pop,Sia,61,,0.1,NA,NA,NA
0.61805859732455,9.654806102158048,When It Comes To You ,pop,dance pop,Sean Paul,56,,0.1,NA,NA,NA
-1.1803189475192597,-8.984445459873465,Gone ,pop,dance pop,Charli XCX,57,,0.1,NA,NA,NA
0.9172227190978037,8.967273331164954,American Boy ,pop,dance pop,Estelle,56,,0.1,NA,NA,NA
0.6570669884190223,9.054259341605851,Million Pieces ,pop,dance pop,Bastille,53,,0.1,NA,NA,NA
0.8783397997213077,7.525515326445252,joy. (R3HAB Remix),pop,dance pop,for KING & COUNTRY,56,,0.1,NA,NA,NA
2.951536216837717,7.837333512589545,Crash Into Me ,pop,dance pop,Steve Aoki,34,,0.1,NA,NA,NA
-0.6895842679662418,-7.60883801379613,Old Town Road ,pop,dance pop,Lil Nas X,74,,0.1,NA,NA,NA
0.8153627268239985,9.635361057295587,Lovers + Strangers ,pop,dance pop,Starley,46,,0.1,NA,NA,NA
1.4962486469849665,7.430336848871395,Promises (with Sam Smith) ,pop,dance pop,Calvin Harris,63,,0.1,NA,NA,NA
1.2020612358540264,8.300423572470985,Flames (with ZAYN) ,pop,dance pop,R3HAB,55,,0.1,NA,NA,NA
1.8654101666227816,7.8703497310881305,What Am I ,pop,dance pop,Why Don't We,52,,0.1,NA,NA,NA
1.7947669635194246,-3.129977756109677,Cool Kids,pop,dance pop,Olympis,67,,0.1,NA,NA,NA
0.26607294902301376,9.353116549752361,Loco Contigo (with J. Balvin & Tyga) ,pop,dance pop,DJ Snake,63,,0.1,NA,NA,NA
-0.3213797118924016,8.691284128826712,All Star ,pop,dance pop,Smash Mouth,60,,0.1,NA,NA,NA
0.9094813535264619,9.208517424731937,Trampoline ,pop,dance pop,SHAED,45,,0.1,NA,NA,NA
0.2691577008648667,10.09787593881764,Stay (Don't Go Away) [feat. Raye] ,pop,dance pop,David Guetta,58,,0.1,NA,NA,NA
1.5187364724571009,7.654731514122348,With You ,pop,dance pop,Kaskade,51,,0.1,NA,NA,NA
1.3937741501562062,8.182266905554304,Safety (feat. DJ Snake) ,pop,dance pop,GASHI,58,,0.1,NA,NA,NA
0.45345686544753844,-5.6223016570632405,Beautiful (feat. Camila Cabello) ,pop,dance pop,Bazzi vs.,56,,0.1,NA,NA,NA
-2.4095542587275727,5.323110968574727,Talk ,pop,dance pop,Khalid,60,,0.1,NA,NA,NA
-2.4390553325374444,-8.713381136702958,Spicy ,pop,dance pop,Herve Pagez,48,,0.1,NA,NA,NA
-0.9507716363458416,-8.663509793883282,Don't Leave Me Lonely (feat. Yebba) ,pop,dance pop,Mark Ronson,56,,0.1,NA,NA,NA
0.33996129271591013,-8.394879062377758,Treehouse ,pop,dance pop,James Arthur,56,,0.1,NA,NA,NA
0.3618249166158696,9.589583168525754,Hearts Ain't Gonna Lie ,pop,dance pop,Arlissa,65,,0.1,NA,NA,NA
-0.9123412707722398,-9.57491161680956,Call You Mine,pop,dance pop,The Chainsmokers,39,,0.1,NA,NA,NA
-2.452271789405809,-9.180197171113708,Post Malone (feat. RANI),pop,dance pop,Sam Feldt,83,,0.1,NA,NA,NA
-0.012196941169549655,7.109044764885133,Here With Me,pop,dance pop,Marshmello,83,,0.1,NA,NA,NA
-1.526780863070837,-8.26770610645552,Easier ,pop,dance pop,5 Seconds of Summer,71,,0.1,NA,NA,NA
-2.850261508494135,-7.937436592642177,Sixteen,pop,dance pop,Ellie Goulding,81,,0.1,NA,NA,NA
-1.7884765406792165,-7.78588670600249,Never Really Over,pop,dance pop,Katy Perry,85,Katy Perry,0.5,Never Really Over,pop,Never Really Over
1.8412163134781718,-6.199576545762418,All You Need To Know (feat. Calle Lehmann),pop,dance pop,Gryffin,76,,0.1,NA,NA,NA
-2.0955804212038673,-4.3285922436086,I Miss Myself (with HRVY),pop,dance pop,NOTD,71,,0.1,NA,NA,NA
1.5186516321322536,-4.495423068941734,Takeaway (feat. Lennon Stella),pop,dance pop,The Chainsmokers,67,,0.1,NA,NA,NA
-0.05555701928977942,9.16401693427121,All the Time,pop,dance pop,Zara Larsson,74,,0.1,NA,NA,NA
0.6790532660902409,-5.6775459110246524,What I Like About You (feat. Theresa Rex),pop,dance pop,Jonas Blue,81,,0.1,NA,NA,NA
-3.413351381931884,4.882783158069029,With You,pop,dance pop,Kaskade,71,,0.1,NA,NA,NA
-0.32865744258969076,-8.637765644212436,Body Back (feat. Maia Wright),pop,dance pop,Gryffin,75,,0.1,NA,NA,NA
0.8935193736018546,8.852281387176697,Not Ok,pop,dance pop,Kygo,73,,0.1,NA,NA,NA
-1.8777540690535532,-7.411696858960562,Ruin My Life,pop,dance pop,Zara Larsson,79,,0.1,NA,NA,NA
-1.2660170398497579,-8.673914652065251,I Wanna Know (feat. Bea Miller),pop,dance pop,NOTD,74,,0.1,NA,NA,NA
0.9823764616638601,-5.457334450275494,Better With You,pop,dance pop,3LAU,63,,0.1,NA,NA,NA
-0.15048114814293312,6.02630966852347,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",pop,dance pop,Kygo,79,,0.1,NA,NA,NA
0.2989065248333133,9.380556247563147,Polaroid,pop,dance pop,Jonas Blue,16,,0.1,NA,NA,NA
-3.9720992110158293,-6.101392618835494,Lost In Japan ,pop,dance pop,Shawn Mendes,75,,0.1,NA,NA,NA
1.9327429951666408,-6.564082509276373,In Your Arms (with X Ambassadors),pop,dance pop,ILLENIUM,75,,0.1,NA,NA,NA
-1.8165859811878093,-7.668555864911985,I'm Not Alright,pop,dance pop,Loud Luxury,55,,0.1,NA,NA,NA
-0.37184438763733785,6.896473605580828,SOS,pop,dance pop,Avicii,30,,0.1,NA,NA,NA
-1.273924763659326,8.85196351010096,Harder,pop,dance pop,Jax Jones,62,,0.1,NA,NA,NA
-0.8528555958769637,-8.903015521580407,The Middle,pop,dance pop,Zedd,84,,0.1,NA,NA,NA
-0.6384651136931214,-7.220366536170233,Wanted,pop,dance pop,NOTD,70,,0.1,NA,NA,NA
2.868933093913528,7.014086147137391,Crash Into Me,pop,dance pop,Steve Aoki,37,,0.1,NA,NA,NA
-0.007552074124455424,-5.161667244461935,Need Your Love (with Noah Kahan),pop,dance pop,Gryffin,70,,0.1,NA,NA,NA
-0.03039046245729911,-4.519646120884719,Good Things Fall Apart (with Jon Bellion),pop,dance pop,ILLENIUM,74,,0.1,NA,NA,NA
0.07445826796670446,-8.989385895265476,Don't Call Me Up,pop,dance pop,Mabel,85,,0.1,NA,NA,NA
-0.03482249462290636,-3.4870327054337316,Nostalgic,pop,dance pop,A R I Z O N A,36,,0.1,NA,NA,NA
-0.5142690496063658,-8.581012567718224,Let It Be Me,pop,dance pop,Steve Aoki,52,,0.1,NA,NA,NA
-0.9193886775705133,-4.523891099056518,Lovers + Strangers,pop,dance pop,Starley,58,,0.1,NA,NA,NA
0.09716873295042626,-5.12233962998487,Sad Song (feat. TINI),pop,dance pop,Alesso,72,,0.1,NA,NA,NA
-0.13917519247084714,-8.059025087058403,Sleepless Nights,pop,dance pop,ayokay,64,,0.1,NA,NA,NA
2.056252267994743,8.70384465031059,Save Me Tonight,pop,dance pop,ARTY,63,,0.1,NA,NA,NA
-0.5018275208591528,9.69939888169757,Pretty Girl ,pop,dance pop,Maggie Lindemann,77,,0.1,NA,NA,NA
1.1284477646992839,-7.419676789752139,No Sleep (feat. Bonn),pop,dance pop,Martin Garrix,76,,0.1,NA,NA,NA
0.6058296438269536,-3.619184030717853,Feel Good (feat. Daya),pop,dance pop,Gryffin,74,,0.1,NA,NA,NA
-0.39626061326426687,-7.168132950489939,Endless Summer,pop,dance pop,Cashae,56,,0.1,NA,NA,NA
-1.0974584108209287,-8.764819807811081,Faith (with Dolly Parton) [feat. Mr. Probz],pop,dance pop,Galantis,77,,0.1,NA,NA,NA
-0.474220051795459,-7.26528484090992,Think About You,pop,dance pop,Kygo,71,,0.1,NA,NA,NA
-0.9654466574447829,-7.553620888824235,Party For One,pop,dance pop,Carly Rae Jepsen,64,,0.1,NA,NA,NA
-0.621843159091656,8.463530371490899,Ritual,pop,dance pop,Tiësto,82,,0.1,NA,NA,NA
1.2989641643813292,-4.9733356198683625,Electricity (with Dua Lipa),pop,dance pop,Silk City,81,,0.1,NA,NA,NA
0.24485635596991603,5.55952608681003,Lie,pop,dance pop,Shallou,41,,0.1,NA,NA,NA
-0.015855188961258718,-8.862580834620333,I Found You (with Calvin Harris),pop,dance pop,benny blanco,62,,0.1,NA,NA,NA
0.7474424095916614,7.648436266978703,Now That I Found You,pop,dance pop,Carly Rae Jepsen,5,,0.1,NA,NA,NA
-2.1863574133606005,-5.189023333817909,All Comes Back To You,pop,dance pop,R3HAB,72,,0.1,NA,NA,NA
-1.6185989101837615,-7.338949581828,Need U,pop,dance pop,DVBBS,24,,0.1,NA,NA,NA
-4.468391434167632,-6.015614627791012,First Love,pop,dance pop,Lost Kings,58,,0.1,NA,NA,NA
1.65929206469775,-5.935631037673047,Something Real,pop,dance pop,Armin van Buuren,65,,0.1,NA,NA,NA
-0.9746721817718724,-7.607449096662737,TIME,pop,dance pop,Alesso,64,,0.1,NA,NA,NA
